term,pos,comment,translation_ko,comment_ko
eigen,,,고유,
eigen value,,,고유값,
element,,,요소,
element file,Noun,,요소 파일,
elevation,Noun,,표고,
ellipse,Noun,,타원,
ellipsoid,Noun,,타원체,
embedded,Adjective,,내장된,
entry,Noun,,항목,
equalized,,,균등화된,
equation,Noun,,방정식,
erase,,,지우다,
error,,,오류,
error matrix,,,오류행렬,
evaluation,Noun,,평가,
exclude,,,배제하다,
executable,Noun,,실행 파일,
execute,,,실행하다,
existing,,,기존,
exit,,,종료하다,
export,Noun,,내보내기,
export,Verb,,내보내다,
expression,Verb,,식,
extension,,,확장,
extent,Noun,,범위,
extract,,,추출하다,
face,Noun,,페이스,
factor,Noun,,계수,
failed to,Verb,,하는데 실패했다,
fatal,Verb,,치명적인,
feature,Noun,,피처,
fetch,,,가져오다,
field,Noun,,필드,
file,Noun,,파일 (앞 단어가 있을 경우 띄어쓰기),
file header,Noun,,파일 헤더,
filter,,,필터,
filter out,Verb,,걸러 내다,
final,,,최종,
first,Adjective,,첫 번째,
flag,Noun,,플래그,
flat,,,평평한,
flip,Verb,,반전하다,
float,Noun,,단정도 실수,
flow accumulation,,,흐름누적,
font,Noun,,글꼴,
forget,Verb,,잊어버리다,
form,,,양식,
format,Noun,,포맷,
format,Verb,,포맷하다,
formatted,Adjective,,포맷된,
frame,,,틀,
free software,Noun,,자유 소프트웨어,https://www.gnu.org/philosophy/free-sw.ko.html
fulfill,,,이행하다,
fully qualified,Adjective,,온전한,
gap,,,빈 공간,
general,Adjective,,일반,
generate,,,생성하다,
geographic,,,지리적인,
geographic information sciences,Noun,,지리정보과학,
geography,Noun,,지리,
geometry,Noun,,기하,
georeference,,,지리 참조,
get,,,얻다,
glyph,Noun,,그림 문자,
goodness of fit,Noun,,적합성,
gootness of fit,Verb,,적합성,
grant,,,부여하다,
granularity,Noun,,세분성,
graphic,,,그래픽,
graphical,Adjective,,그래픽,
graphics monitor,,,그래픽 모니터,
gray scale,Noun,,회색조,
grayscale,Noun,,회색조,
greyscale,Noun,,회색조,
grid,,,격자,
group,,,그룹,
guess,Verb,,추측하다,
handle,Noun,,(프로그래밍) 핸들,
handle,Verb,,취급하다,
header,Noun,,헤더,
hexagon,Noun,,육각형,
histogram,Noun,,주상도,
history,,,히스토리,XXX: 이력?
hold,,,보관하다,
